State,Year,rank_pg,rank_low,rank_med,rank_high,flip_low,flip_med,flip_high
Alabama,2022,15.0,15.0,15.0,15.0,False,False,False
Arizona,2022,18.0,18.0,18.0,18.0,False,False,False
Arkansas,2022,5.0,5.0,5.0,5.0,False,False,False
California,2022,45.0,45.0,45.0,45.0,False,False,False
Colorado,2022,32.0,32.0,32.0,32.0,False,False,False
Connecticut,2022,47.0,47.0,47.0,47.0,False,False,False
Delaware,2022,31.0,31.0,31.0,31.0,False,False,False
Florida,2022,33.0,33.0,33.0,33.0,False,False,False
Georgia,2022,8.0,8.0,8.0,8.0,False,False,False
Idaho,2022,14.0,14.0,14.0,14.0,False,False,False
Illinois,2022,39.0,39.0,39.0,39.0,False,False,False
Indiana,2022,37.0,37.0,37.0,37.0,False,False,False
Iowa,2022,2.0,2.0,2.0,2.0,False,False,False
Kansas,2022,16.0,16.0,16.0,16.0,False,False,False
Kentucky,2022,9.0,9.0,9.0,9.0,False,False,False
Louisiana,2022,7.0,7.0,7.0,7.0,False,False,False
Maine,2022,43.0,43.0,43.0,43.0,False,False,False
Maryland,2022,40.0,40.0,40.0,40.0,False,False,False
Massachusetts,2022,46.0,46.0,46.0,46.0,False,False,False
Michigan,2022,29.0,29.0,29.0,29.0,False,False,False
Minnesota,2022,25.0,25.0,25.0,25.0,False,False,False
Mississippi,2022,17.0,17.0,17.0,17.0,False,False,False
Missouri,2022,21.0,21.0,21.0,21.0,False,False,False
Montana,2022,6.0,6.0,6.0,6.0,False,False,False
Nebraska,2022,20.0,20.0,20.0,20.0,False,False,False
Nevada,2022,11.0,11.0,11.0,11.0,False,False,False
New Hampshire,2022,44.0,44.0,44.0,44.0,False,False,False
New Jersey,2022,42.0,42.0,42.0,42.0,False,False,False
New Mexico,2022,3.0,3.0,3.0,3.0,False,False,False
New York,2022,35.0,35.0,35.0,35.0,False,False,False
North Carolina,2022,22.0,22.0,22.0,22.0,False,False,False
North Dakota,2022,19.0,19.0,19.0,19.0,False,False,False
Ohio,2022,23.0,23.0,23.0,23.0,False,False,False
Oklahoma,2022,1.0,1.0,1.0,1.0,False,False,False
Oregon,2022,26.0,26.0,26.0,26.0,False,False,False
Pennsylvania,2022,36.0,36.0,36.0,36.0,False,False,False
Rhode Island,2022,48.0,48.0,48.0,48.0,False,False,False
South Carolina,2022,10.0,10.0,10.0,10.0,False,False,False
South Dakota,2022,28.0,28.0,28.0,28.0,False,False,False
Tennessee,2022,12.0,12.0,12.0,12.0,False,False,False
Texas,2022,4.0,4.0,4.0,4.0,False,False,False
Utah,2022,24.0,24.0,24.0,24.0,False,False,False
Vermont,2022,41.0,41.0,41.0,41.0,False,False,False
Virginia,2022,38.0,38.0,38.0,38.0,False,False,False
Washington,2022,13.0,13.0,13.0,13.0,False,False,False
West Virginia,2022,34.0,34.0,34.0,34.0,False,False,False
Wisconsin,2022,30.0,30.0,30.0,30.0,False,False,False
Wyoming,2022,27.0,27.0,27.0,27.0,False,False,False
Alabama,2030,20.0,20.0,20.0,20.0,False,False,False
Arizona,2030,21.0,21.0,21.0,21.0,False,False,False
Arkansas,2030,4.0,4.0,4.0,4.0,False,False,False
California,2030,45.0,45.0,45.0,45.0,False,False,False
Colorado,2030,37.0,37.0,37.0,37.0,False,False,False
Connecticut,2030,47.0,47.0,47.0,47.0,False,False,False
Delaware,2030,32.0,32.0,32.0,32.0,False,False,False
Florida,2030,34.0,34.0,34.0,34.0,False,False,False
Georgia,2030,12.0,12.0,12.0,12.0,False,False,False
Idaho,2030,15.0,15.0,15.0,15.0,False,False,False
Illinois,2030,39.0,39.0,39.0,39.0,False,False,False
Indiana,2030,36.0,36.0,36.0,36.0,False,False,False
Iowa,2030,2.0,2.0,2.0,2.0,False,False,False
Kansas,2030,19.0,19.0,19.0,19.0,False,False,False
Kentucky,2030,11.0,11.0,11.0,11.0,False,False,False
Louisiana,2030,9.0,9.0,9.0,9.0,False,False,False
Maine,2030,43.0,43.0,43.0,43.0,False,False,False
Maryland,2030,40.0,40.0,40.0,40.0,False,False,False
Massachusetts,2030,46.0,46.0,46.0,46.0,False,False,False
Michigan,2030,31.0,31.0,31.0,31.0,False,False,False
Minnesota,2030,27.0,27.0,27.0,27.0,False,False,False
Mississippi,2030,14.0,14.0,14.0,14.0,False,False,False
Missouri,2030,18.0,18.0,18.0,18.0,False,False,False
Montana,2030,5.0,5.0,5.0,5.0,False,False,False
Nebraska,2030,23.0,23.0,23.0,23.0,False,False,False
Nevada,2030,13.0,13.0,13.0,13.0,False,False,False
New Hampshire,2030,44.0,44.0,44.0,44.0,False,False,False
New Jersey,2030,42.0,42.0,42.0,42.0,False,False,False
New Mexico,2030,3.0,3.0,3.0,3.0,False,False,False
New York,2030,35.0,35.0,35.0,35.0,False,False,False
North Carolina,2030,17.0,17.0,17.0,17.0,False,False,False
North Dakota,2030,16.0,16.0,16.0,16.0,False,False,False
Ohio,2030,24.0,24.0,24.0,24.0,False,False,False
Oklahoma,2030,1.0,1.0,1.0,1.0,False,False,False
Oregon,2030,25.0,25.0,25.0,25.0,False,False,False
Pennsylvania,2030,33.0,33.0,33.0,33.0,False,False,False
Rhode Island,2030,48.0,48.0,48.0,48.0,False,False,False
South Carolina,2030,8.0,8.0,8.0,8.0,False,False,False
South Dakota,2030,29.0,29.0,29.0,29.0,False,False,False
Tennessee,2030,10.0,10.0,10.0,10.0,False,False,False
Texas,2030,6.0,6.0,6.0,6.0,False,False,False
Utah,2030,22.0,22.0,22.0,22.0,False,False,False
Vermont,2030,41.0,41.0,41.0,41.0,False,False,False
Virginia,2030,38.0,38.0,38.0,38.0,False,False,False
Washington,2030,7.0,7.0,7.0,7.0,False,False,False
West Virginia,2030,30.0,30.0,30.0,30.0,False,False,False
Wisconsin,2030,26.0,26.0,26.0,26.0,False,False,False
Wyoming,2030,28.0,28.0,28.0,28.0,False,False,False
Alabama,2040,20.0,20.0,20.0,20.0,False,False,False
Arizona,2040,22.0,22.0,22.0,22.0,False,False,False
Arkansas,2040,4.0,4.0,4.0,4.0,False,False,False
California,2040,45.0,45.0,45.0,45.0,False,False,False
Colorado,2040,37.0,37.0,37.0,37.0,False,False,False
Connecticut,2040,47.0,47.0,47.0,47.0,False,False,False
Delaware,2040,32.0,32.0,32.0,32.0,False,False,False
Florida,2040,34.0,34.0,34.0,34.0,False,False,False
Georgia,2040,12.0,12.0,12.0,12.0,False,False,False
Idaho,2040,15.0,15.0,15.0,15.0,False,False,False
Illinois,2040,39.0,39.0,39.0,39.0,False,False,False
Indiana,2040,36.0,36.0,36.0,36.0,False,False,False
Iowa,2040,2.0,2.0,2.0,2.0,False,False,False
Kansas,2040,19.0,19.0,19.0,19.0,False,False,False
Kentucky,2040,11.0,11.0,11.0,11.0,False,False,False
Louisiana,2040,10.0,10.0,10.0,10.0,False,False,False
Maine,2040,43.0,43.0,43.0,43.0,False,False,False
Maryland,2040,40.0,40.0,40.0,40.0,False,False,False
Massachusetts,2040,46.0,46.0,46.0,46.0,False,False,False
Michigan,2040,31.0,31.0,31.0,31.0,False,False,False
Minnesota,2040,27.0,27.0,27.0,27.0,False,False,False
Mississippi,2040,14.0,14.0,14.0,14.0,False,False,False
Missouri,2040,18.0,18.0,18.0,18.0,False,False,False
Montana,2040,5.0,5.0,5.0,5.0,False,False,False
Nebraska,2040,23.0,23.0,23.0,23.0,False,False,False
Nevada,2040,13.0,13.0,13.0,13.0,False,False,False
New Hampshire,2040,44.0,44.0,44.0,44.0,False,False,False
New Jersey,2040,42.0,42.0,42.0,42.0,False,False,False
New Mexico,2040,3.0,3.0,3.0,3.0,False,False,False
New York,2040,35.0,35.0,35.0,35.0,False,False,False
North Carolina,2040,17.0,17.0,17.0,17.0,False,False,False
North Dakota,2040,16.0,16.0,16.0,16.0,False,False,False
Ohio,2040,24.0,24.0,24.0,24.0,False,False,False
Oklahoma,2040,1.0,1.0,1.0,1.0,False,False,False
Oregon,2040,25.0,25.0,25.0,25.0,False,False,False
Pennsylvania,2040,33.0,33.0,33.0,33.0,False,False,False
Rhode Island,2040,48.0,48.0,48.0,48.0,False,False,False
South Carolina,2040,8.0,8.0,8.0,8.0,False,False,False
South Dakota,2040,28.0,28.0,28.0,28.0,False,False,False
Tennessee,2040,9.0,9.0,9.0,9.0,False,False,False
Texas,2040,6.0,6.0,6.0,6.0,False,False,False
Utah,2040,21.0,21.0,21.0,21.0,False,False,False
Vermont,2040,41.0,41.0,41.0,41.0,False,False,False
Virginia,2040,38.0,38.0,38.0,38.0,False,False,False
Washington,2040,7.0,7.0,7.0,7.0,False,False,False
West Virginia,2040,30.0,30.0,30.0,30.0,False,False,False
Wisconsin,2040,26.0,26.0,26.0,26.0,False,False,False
Wyoming,2040,29.0,29.0,29.0,29.0,False,False,False
Alabama,2050,20.0,20.0,20.0,20.0,False,False,False
Arizona,2050,22.0,22.0,22.0,22.0,False,False,False
Arkansas,2050,4.0,4.0,4.0,4.0,False,False,False
California,2050,45.0,45.0,45.0,45.0,False,False,False
Colorado,2050,37.0,37.0,37.0,37.0,False,False,False
Connecticut,2050,47.0,47.0,47.0,47.0,False,False,False
Delaware,2050,32.0,32.0,32.0,32.0,False,False,False
Florida,2050,34.0,34.0,34.0,34.0,False,False,False
Georgia,2050,12.0,12.0,12.0,12.0,False,False,False
Idaho,2050,15.0,15.0,15.0,15.0,False,False,False
Illinois,2050,39.0,39.0,39.0,39.0,False,False,False
Indiana,2050,36.0,36.0,36.0,36.0,False,False,False
Iowa,2050,2.0,2.0,2.0,2.0,False,False,False
Kansas,2050,19.0,19.0,19.0,19.0,False,False,False
Kentucky,2050,11.0,11.0,11.0,11.0,False,False,False
Louisiana,2050,10.0,10.0,10.0,10.0,False,False,False
Maine,2050,43.0,43.0,43.0,43.0,False,False,False
Maryland,2050,40.0,40.0,40.0,40.0,False,False,False
Massachusetts,2050,46.0,46.0,46.0,46.0,False,False,False
Michigan,2050,31.0,31.0,31.0,31.0,False,False,False
Minnesota,2050,27.0,27.0,27.0,27.0,False,False,False
Mississippi,2050,14.0,14.0,14.0,14.0,False,False,False
Missouri,2050,18.0,18.0,18.0,18.0,False,False,False
Montana,2050,5.0,5.0,5.0,5.0,False,False,False
Nebraska,2050,23.0,23.0,23.0,23.0,False,False,False
Nevada,2050,13.0,13.0,13.0,13.0,False,False,False
New Hampshire,2050,44.0,44.0,44.0,44.0,False,False,False
New Jersey,2050,42.0,42.0,42.0,42.0,False,False,False
New Mexico,2050,3.0,3.0,3.0,3.0,False,False,False
New York,2050,35.0,35.0,35.0,35.0,False,False,False
North Carolina,2050,17.0,17.0,17.0,17.0,False,False,False
North Dakota,2050,16.0,16.0,16.0,16.0,False,False,False
Ohio,2050,24.0,24.0,24.0,24.0,False,False,False
Oklahoma,2050,1.0,1.0,1.0,1.0,False,False,False
Oregon,2050,25.0,25.0,25.0,25.0,False,False,False
Pennsylvania,2050,33.0,33.0,33.0,33.0,False,False,False
Rhode Island,2050,48.0,48.0,48.0,48.0,False,False,False
South Carolina,2050,8.0,8.0,8.0,8.0,False,False,False
South Dakota,2050,28.0,28.0,28.0,28.0,False,False,False
Tennessee,2050,9.0,9.0,9.0,9.0,False,False,False
Texas,2050,6.0,6.0,6.0,6.0,False,False,False
Utah,2050,21.0,21.0,21.0,21.0,False,False,False
Vermont,2050,41.0,41.0,41.0,41.0,False,False,False
Virginia,2050,38.0,38.0,38.0,38.0,False,False,False
Washington,2050,7.0,7.0,7.0,7.0,False,False,False
West Virginia,2050,30.0,30.0,30.0,30.0,False,False,False
Wisconsin,2050,26.0,26.0,26.0,26.0,False,False,False
Wyoming,2050,29.0,29.0,29.0,29.0,False,False,False
Alabama,2060,20.0,20.0,20.0,20.0,False,False,False
Arizona,2060,22.0,22.0,22.0,22.0,False,False,False
Arkansas,2060,4.0,4.0,4.0,4.0,False,False,False
California,2060,45.0,45.0,45.0,45.0,False,False,False
Colorado,2060,37.0,37.0,37.0,37.0,False,False,False
Connecticut,2060,47.0,47.0,47.0,47.0,False,False,False
Delaware,2060,32.0,32.0,32.0,32.0,False,False,False
Florida,2060,34.0,34.0,34.0,34.0,False,False,False
Georgia,2060,12.0,12.0,12.0,12.0,False,False,False
Idaho,2060,15.0,15.0,15.0,15.0,False,False,False
Illinois,2060,39.0,39.0,39.0,39.0,False,False,False
Indiana,2060,36.0,36.0,36.0,36.0,False,False,False
Iowa,2060,2.0,2.0,2.0,2.0,False,False,False
Kansas,2060,19.0,19.0,19.0,19.0,False,False,False
Kentucky,2060,11.0,11.0,11.0,11.0,False,False,False
Louisiana,2060,10.0,10.0,10.0,10.0,False,False,False
Maine,2060,43.0,43.0,43.0,43.0,False,False,False
Maryland,2060,40.0,40.0,40.0,40.0,False,False,False
Massachusetts,2060,46.0,46.0,46.0,46.0,False,False,False
Michigan,2060,31.0,31.0,31.0,31.0,False,False,False
Minnesota,2060,27.0,27.0,27.0,27.0,False,False,False
Mississippi,2060,14.0,14.0,14.0,14.0,False,False,False
Missouri,2060,18.0,18.0,18.0,18.0,False,False,False
Montana,2060,5.0,5.0,5.0,5.0,False,False,False
Nebraska,2060,23.0,23.0,23.0,23.0,False,False,False
Nevada,2060,13.0,13.0,13.0,13.0,False,False,False
New Hampshire,2060,44.0,44.0,44.0,44.0,False,False,False
New Jersey,2060,42.0,42.0,42.0,42.0,False,False,False
New Mexico,2060,3.0,3.0,3.0,3.0,False,False,False
New York,2060,35.0,35.0,35.0,35.0,False,False,False
North Carolina,2060,17.0,17.0,17.0,17.0,False,False,False
North Dakota,2060,16.0,16.0,16.0,16.0,False,False,False
Ohio,2060,24.0,24.0,24.0,24.0,False,False,False
Oklahoma,2060,1.0,1.0,1.0,1.0,False,False,False
Oregon,2060,25.0,25.0,25.0,25.0,False,False,False
Pennsylvania,2060,33.0,33.0,33.0,33.0,False,False,False
Rhode Island,2060,48.0,48.0,48.0,48.0,False,False,False
South Carolina,2060,8.0,8.0,8.0,8.0,False,False,False
South Dakota,2060,28.0,28.0,28.0,28.0,False,False,False
Tennessee,2060,9.0,9.0,9.0,9.0,False,False,False
Texas,2060,7.0,7.0,7.0,7.0,False,False,False
Utah,2060,21.0,21.0,21.0,21.0,False,False,False
Vermont,2060,41.0,41.0,41.0,41.0,False,False,False
Virginia,2060,38.0,38.0,38.0,38.0,False,False,False
Washington,2060,6.0,6.0,6.0,6.0,False,False,False
West Virginia,2060,30.0,30.0,30.0,30.0,False,False,False
Wisconsin,2060,26.0,26.0,26.0,26.0,False,False,False
Wyoming,2060,29.0,29.0,29.0,29.0,False,False,False
